Partner-Nr.;Anzahl;Post-Anrede;Post-Name1;Post-Name2;Post-Straße;Post-PLZ;Post-Ort;Druck-Anrede für HG/NG;Druck-HG-Name1;Druck-HG-Name2;Druck-HG-Straße;Druck-HG-PLZ;Druck-HG-Ort;Druck-HG-Tel.;Druck-NG-Name1;Druck-NG-Name2;Druck-NG-Straße;Druck-NG-PLZ;Druck-NG-Ort;Druck-NG-Tel.
3003300;1300;Firma;Blumenhaus Siedenburg KG;;Bürgermeister-Smidt-Str. 53;27568;Bremerhaven;Fleurop-Fachgeschäft:;Blumenhaus Siedenburg KG;;Bürgermeister-Smidt-Str. 53;27568;Bremerhaven;0471-944 10 13;;;;;;
3186000;1400;Firma;Gebben,;Angelika, Blumenhaus Tensing;Nordstr. 20;49740;Haselünne;Fleurop-Fachgeschäft:;Gebben,;Angelika, Blumenhaus Tensing;Nordstr. 20;49740;Haselünne;05961-40 35;;;;;;
3210700;1500;Firma;Simon,;Susanne, Simon Blumen;Ostendstr. 35;70190;Stuttgart;Fleurop-Fachgeschäft:;Simon,;Susanne, Simon Blumen;Ostendstr. 35;70190;Stuttgart;0711-26 13 14;;;;;;
3510200;1600;Firma;Hartmann,;Ludwig;Kemptener Str. 20;87634;Obergünzburg;Fleurop-Fachgeschäft:;Hartmann,;Ludwig;Kemptener Str. 20;87634;Obergünzburg;08372-376;;;;;;
3660800;1700;Firma;Blumenhof Müller oHG,;Friedhofsgärtnerei u.Hydrothek;Meiningser Weg 89;59494;Soest;Fleurop-Fachgeschäft:;Blumenhof Müller oHG,;Friedhofsgärtnerei u.Hydrothek;Meiningser Weg 89;59494;Soest;02921-608 10;;;;;;
3964800;1800;Firma;Meisterflorist am Prinz Emil Garten;Britta Boecking e.K.;Heidelberger Str. 62;64285;Darmstadt;Fleurop-Fachgeschäft:;Meisterflorist am Prinz Emil Garten;Britta Boecking e.K.;Heidelberger Str. 62;64285;Darmstadt;06151-630 34;;;;;;
4102500;1900;Firma;Zeretzke,;Stephan, Blumenhaus Kaufhold;Obere Bahnhofstr. 31;34376;Immenhausen;Fleurop-Fachgeschäft:;Zeretzke,;Stephan, Blumenhaus Kaufhold;Obere Bahnhofstr. 31;34376;Immenhausen;05673-13 19;;;;;;
4207200;2000;Firma;Die Blume;Inh. Marita Ulrich;Pfarrer-Grimm-Str. 12-14;55124;Mainz;Fleurop-Fachgeschäft:;Die Blume;Inh. Marita Ulrich;Pfarrer-Grimm-Str. 12-14;55124;Mainz;06131-419 97;;;;;;
5034400;2100;Firma;Mai,;Günter, Maiflower;Schweriner Str. 38;19288;Ludwigslust;Fleurop-Fachgeschäft:;Mai,;Günter, Maiflower;Schweriner Str. 38;19288;Ludwigslust;03874-485 47;;;;;;
5037700;2200;Firma;Ewald,;Barbara, Blattwerk;Römerstr. 2;65474;Bischofsheim;Fleurop-Fachgeschäft:;Ewald,;Barbara, Blattwerk;Römerstr. 2;65474;Bischofsheim;06144-469 23 36;;;;;;
5062100;2300;Firma;Werner,;Brigitte, Blumen & Design;Hauptstr. 2b-c;19067;Leezen;Fleurop-Fachgeschäft:;Werner,;Brigitte, Blumen & Design;Hauptstr. 2b-c;19067;Leezen;03866-40 05 15;;;;;;
5685000;2400;Firma;Lackner,;Kerstin, Blumen Auer;Salzburger Str. 8;83404;Ainring;Fleurop-Fachgeschäft:;Lackner,;Kerstin, Blumen Auer;Salzburger Str. 8;83404;Ainring;08654-84 90;;;;;;
5840800;2500;Firma;Gicklhorn,;Reiner und Erika;Schindgraben 11;97688;Bad Kissingen;Fleurop-Fachgeschäft:;Gicklhorn,;Reiner und Erika;Schindgraben 11;97688;Bad Kissingen;0971-993 28;;;;;;
6179300;2600;Firma;Zickwolff,;Helmut;Spitalstr. 87;66564;Ottweiler;Fleurop-Fachgeschäft:;Zickwolff,;Helmut;Spitalstr. 87;66564;Ottweiler;06824-24 06;;;;;;
6677000;2700;Firma;Storm,;Hugo;Rheinuferstr. 63a;56341;Kamp-Bornhofen;Fleurop-Fachgeschäft:;Storm,;Hugo;Rheinuferstr. 63a;56341;Kamp-Bornhofen;06773-254;Storm,;Hugo;Römerstr. 49;56355;Nastätten;06772-940 58
7072500;2800;Firma;Blumen Dinslage;;Döppersberg 37;42103;Wuppertal;Fleurop-Fachgeschäft:;Blumen Dinslage;;Döppersberg 37;42103;Wuppertal;0202-44 44 71;;;;;;
7401300;2900;Firma;Heinen GbR;;Marsdorfer Str. 59;50858;Köln;Fleurop-Fachgeschäft:;Heinen GbR;;Marsdorfer Str. 59;50858;Köln;0221-48 88 92;;;;;;
8794700;3000;Firma;Blumen & Pflanzen GmbH Wismar;;Bürgermeister-Haupt-Str. 89a;23966;Wismar;Fleurop-Fachgeschäft:;Blumen & Pflanzen GmbH Wismar;;Bürgermeister-Haupt-Str. 89a;23966;Wismar;03841-76 23 92;;;;;;
9282400;3100;Firma;Knoche,;Gudrun, vorm. Waurick;Johannisstr. 17;2763;Zittau;Fleurop-Fachgeschäft:;Knoche,;Gudrun, vorm. Waurick;Johannisstr. 17;2763;Zittau;03583-51 20 15;;;;;;
9367600;3200;Firma;Meyer,;Gudrun;Kaiserstr. 33;31177;Harsum;Fleurop-Fachgeschäft:;Meyer,;Gudrun;Kaiserstr. 33;31177;Harsum;05127-234;;;;;;
9408200;3300;Firma;Franz,;Tanja, Blüten mit Stil;Leimental 2-4;77654;Offenburg;Fleurop-Fachgeschäft:;Franz,;Tanja, Blüten mit Stil;Leimental 2-4;77654;Offenburg;0781-317 17;;;;;;
9478100;3400;Firma;Ritter,;Walter, Blumen Ritter;Mühlenbachweg 6;21227;Bendestorf;Fleurop-Fachgeschäft:;Ritter,;Walter, Blumen Ritter;Mühlenbachweg 6;21227;Bendestorf;04183-68 43;Ritter,;Walter;Bei der Kirche 4;21271;Hanstedt;04184-888 359
11247500;3500;Firma;Kutschale,;Claudia, Flowers & more;Rolfinckstr. 5;22391;Hamburg;Fleurop-Fachgeschäft:;Kutschale,;Claudia, Flowers & more;Rolfinckstr. 5;22391;Hamburg;040-536 16 88;;;;;;
12179100;3600;Firma;Eggert,;Herbert und Wilma;Sandkuhle 27;25524;Itzehoe;Fleurop-Fachgeschäft:;Eggert,;Herbert und Wilma;Sandkuhle 27;25524;Itzehoe;04821-612 63;;;;;;
12369500;3700;Firma;Eichberger,;Jürgen, Blumen Eichberger;Wörthstr. 2;94032;Passau;Fleurop-Fachgeschäft:;Eichberger,;Jürgen, Blumen Eichberger;Wörthstr. 2;94032;Passau;0851-76 64;;;;;;
24201700;3800;Firma;Vogt,;Monika;Obere Hauptstr. 2;9385;Lugau;Fleurop-Fachgeschäft:;Vogt,;Monika;Obere Hauptstr. 2;9385;Lugau;037295-36 70;;;;;;
