geliefert;Partner-Nr.;Anzahl;Post-Anrede;Post-Name1;Post-Name2;Post-Straße;Post-PLZ;Post-Ort;Floh;Teile;Aufkl. 1;Gew. Paket 1;FLOH_Druck;Aufkl. 2;Aufkl. 3;Gew. Paket 2;Gew. Paket 3;Gesamtgewicht;Verketten
1702;03008800;2600;Blumenhaus;Blumen-Fischer e.K.,;Inh. Jörg und Ted Rochau;Königstr. 28;70173;Stuttgart;0028;1;Pak 2/3;26,7;0028-Pak 2/3;;;;;;0028-Pak 2/3
1702;03008800;2600;Blumenhaus;Blumen-Fischer e.K.,;Inh. Jörg und Ted Rochau;Königstr. 28;70173;Stuttgart;0028;1;Pak 3/3;5,3;0028-Pak 3/3;;;;;;0028-Pak 3/3
254;00481800;2500;Blumenhaus;"FlorisTick ""Am Antonplatz""";;Berliner Allee 18;13088;Berlin;0029;1;Pak 1/3;26,7;0029-Pak 1/3;Pak 2/3;Pak 3/3;26,7;3,1;56,5;0029-Pak 1/3
254;00481800;2500;Blumenhaus;"FlorisTick ""Am Antonplatz""";;Berliner Allee 18;13088;Berlin;0029;1;Pak 2/3;26,7;0029-Pak 2/3;;;;;;0029-Pak 2/3
254;00481800;2500;Blumenhaus;"FlorisTick ""Am Antonplatz""";;Berliner Allee 18;13088;Berlin;0029;1;Pak 3/3;3,1;0029-Pak 3/3;;;;;;0029-Pak 3/3
1426;02477300;2500;Blumenhaus;Anthurium Blumenhaus;Neumann GmbH & Co. KG;Alexanderstr. 358-360;26127;Oldenburg;0030;1;Pak 1/3;26,7;0030-Pak 1/3;Pak 2/3;Pak 3/3;26,7;3,1;56,5;0030-Pak 1/3
1426;02477300;2500;Blumenhaus;Anthurium Blumenhaus;Neumann GmbH & Co. KG;Alexanderstr. 358-360;26127;Oldenburg;0030;1;Pak 2/3;26,7;0030-Pak 2/3;;;;;;0030-Pak 2/3
1426;02477300;2500;Blumenhaus;Anthurium Blumenhaus;Neumann GmbH & Co. KG;Alexanderstr. 358-360;26127;Oldenburg;0030;1;Pak 3/3;3,1;0030-Pak 3/3;;;;;;0030-Pak 3/3
1200;02094800;2500;Blumenhaus;Strotmann;Maria, Blumen für nette Leute;Heeper Str. 167;33607;Bielefeld;0031;1;Pak 1/3;26,7;0031-Pak 1/3;Pak 2/3;Pak 3/3;26,7;3,1;56,5;0031-Pak 1/3
1200;02094800;2500;Blumenhaus;Strotmann;Maria, Blumen für nette Leute;Heeper Str. 167;33607;Bielefeld;0031;1;Pak 2/3;26,7;0031-Pak 2/3;;;;;;0031-Pak 2/3
1200;02094800;2500;Blumenhaus;Strotmann;Maria, Blumen für nette Leute;Heeper Str. 167;33607;Bielefeld;0031;1;Pak 3/3;3,1;0031-Pak 3/3;;;;;;0031-Pak 3/3
2370;04350101;2500;Blumenhaus;Jenner,;Reiner;Willy-Brandt-Platz 5;69115;Heidelberg;0032;1;Pak 1/3;26,7;0032-Pak 1/3;Pak 2/3;Pak 3/3;26,7;3,1;56,5;0032-Pak 1/3
2370;04350101;2500;Blumenhaus;Jenner,;Reiner;Willy-Brandt-Platz 5;69115;Heidelberg;0032;1;Pak 2/3;26,7;0032-Pak 2/3;;;;;;0032-Pak 2/3
2370;04350101;2500;Blumenhaus;Jenner,;Reiner;Willy-Brandt-Platz 5;69115;Heidelberg;0032;1;Pak 3/3;3,1;0032-Pak 3/3;;;;;;0032-Pak 3/3
2582;04776900;2500;Blumenhaus;Blumenhaus Wittelsbach,;Annemarie Junghanns GMBH;Lenbachplatz 7;80333;München;0033;1;Pak 1/3;26,7;0033-Pak 1/3;Pak 2/3;Pak 3/3;26,7;3,1;56,5;0033-Pak 1/3
2582;04776900;2500;Blumenhaus;Blumenhaus Wittelsbach,;Annemarie Junghanns GMBH;Lenbachplatz 7;80333;München;0033;1;Pak 2/3;26,7;0033-Pak 2/3;;;;;;0033-Pak 2/3
2582;04776900;2500;Blumenhaus;Blumenhaus Wittelsbach,;Annemarie Junghanns GMBH;Lenbachplatz 7;80333;München;0033;1;Pak 3/3;3,1;0033-Pak 3/3;;;;;;0033-Pak 3/3
231;00438800;2400;Blumenhaus;Anthurium Services GmbH;;Hermsdorfer Damm 139;13467;Berlin;0034;1;Pak 1/3;26,7;0034-Pak 1/3;Pak 2/3;Pak 3/3;26,7;1;54,4;0034-Pak 1/3
231;00438800;2400;Blumenhaus;Anthurium Services GmbH;;Hermsdorfer Damm 139;13467;Berlin;0034;1;Pak 2/3;26,7;0034-Pak 2/3;;;;;;0034-Pak 2/3
231;00438800;2400;Blumenhaus;Anthurium Services GmbH;;Hermsdorfer Damm 139;13467;Berlin;0034;1;Pak 3/3;1;0034-Pak 3/3;;;;;;0034-Pak 3/3
1091;01911900;2400;Blumenhaus;Ernst W.H. Roeber;vorm. Herm. Dohr;Hindenburgstr. 9-11;28717;Bremen;0035;1;Pak 1/3;26,7;0035-Pak 1/3;Pak 2/3;Pak 3/3;26,7;1;54,4;0035-Pak 1/3
1091;01911900;2400;Blumenhaus;Ernst W.H. Roeber;vorm. Herm. Dohr;Hindenburgstr. 9-11;28717;Bremen;0035;1;Pak 2/3;26,7;0035-Pak 2/3;;;;;;0035-Pak 2/3
1091;01911900;2400;Blumenhaus;Ernst W.H. Roeber;vorm. Herm. Dohr;Hindenburgstr. 9-11;28717;Bremen;0035;1;Pak 3/3;1;0035-Pak 3/3;;;;;;0035-Pak 3/3
2764;05157500;2400;Blumenhaus;Barnert,;Ingrid, Blumen Barnert;Keferloher Str. 103;80807;München;0036;1;Pak 1/3;26,7;0036-Pak 1/3;Pak 2/3;Pak 3/3;26,7;1;54,4;0036-Pak 1/3
2764;05157500;2400;Blumenhaus;Barnert,;Ingrid, Blumen Barnert;Keferloher Str. 103;80807;München;0036;1;Pak 2/3;26,7;0036-Pak 2/3;;;;;;0036-Pak 2/3
2764;05157500;2400;Blumenhaus;Barnert,;Ingrid, Blumen Barnert;Keferloher Str. 103;80807;München;0036;1;Pak 3/3;1;0036-Pak 3/3;;;;;;0036-Pak 3/3
622;01139700;2300;Blumenhaus;Wolf,;Anke, Primula Florale Kunst;Frankfurter Allee 247;10365;Berlin;0037;1;Pak 1/2;26,7;0037-Pak 1/2;Pak 2/2;;25,3;;52;0037-Pak 1/2
622;01139700;2300;Blumenhaus;Wolf,;Anke, Primula Florale Kunst;Frankfurter Allee 247;10365;Berlin;0037;1;Pak 2/2;25,3;0037-Pak 2/2;;;;;;0037-Pak 2/2
3779;08078200;2300;Blumenhaus;Treptower Blumen-Handels GmbH;;Buntzelstr. 2-10;12526;Berlin;0038;1;Pak 1/2;26,7;0038-Pak 1/2;Pak 2/2;;25,3;;52;0038-Pak 1/2
3779;08078200;2300;Blumenhaus;Treptower Blumen-Handels GmbH;;Buntzelstr. 2-10;12526;Berlin;0038;1;Pak 2/2;25,3;0038-Pak 2/2;;;;;;0038-Pak 2/2
3163;06226900;2300;Blumenhaus;Absolut Floristik;Inhaber Britta Meyer e.K.;Fuhlsbüttler Str. 172;22305;Hamburg;0039;1;Pak 1/2;26,7;0039-Pak 1/2;Pak 2/2;;25,3;;52;0039-Pak 1/2
3163;06226900;2300;Blumenhaus;Absolut Floristik;Inhaber Britta Meyer e.K.;Fuhlsbüttler Str. 172;22305;Hamburg;0039;1;Pak 2/2;25,3;0039-Pak 2/2;;;;;;0039-Pak 2/2
2719;05052800;2300;Blumenhaus;Kersting,;Ute, BlumenCompany;Lindemannstr. 51;44137;Dortmund;0040;1;Pak 1/2;26,7;0040-Pak 1/2;Pak 2/2;;25,3;;52;0040-Pak 1/2
2719;05052800;2300;Blumenhaus;Kersting,;Ute, BlumenCompany;Lindemannstr. 51;44137;Dortmund;0040;1;Pak 2/2;25,3;0040-Pak 2/2;;;;;;0040-Pak 2/2
848;01499000;2300;Blumenhaus;Blumen Schmohr GmbH & Co. KG;;Willy-Brandt-Platz 9;59065;Hamm;0041;1;Pak 1/2;26,7;0041-Pak 1/2;Pak 2/2;;25,3;;52;0041-Pak 1/2
848;01499000;2300;Blumenhaus;Blumen Schmohr GmbH & Co. KG;;Willy-Brandt-Platz 9;59065;Hamm;0041;1;Pak 2/2;25,3;0041-Pak 2/2;;;;;;0041-Pak 2/2
5188;21938600;2300;Blumenhaus;Bauer,;Sonja, Blumen Simon;Friedhofstr. 1;87527;Sonthofen;0042;1;Pak 1/2;26,7;0042-Pak 1/2;Pak 2/2;;25,3;;52;0042-Pak 1/2
5188;21938600;2300;Blumenhaus;Bauer,;Sonja, Blumen Simon;Friedhofstr. 1;87527;Sonthofen;0042;1;Pak 2/2;25,3;0042-Pak 2/2;;;;;;0042-Pak 2/2
417;00768600;2200;Blumenhaus;Blumen Eicks OHG;;Sand 19;21073;Hamburg;0043;1;Pak 1/2;26,7;0043-Pak 1/2;Pak 2/2;;23,2;;49,9;0043-Pak 1/2
417;00768600;2200;Blumenhaus;Blumen Eicks OHG;;Sand 19;21073;Hamburg;0043;1;Pak 2/2;23,2;0043-Pak 2/2;;;;;;0043-Pak 2/2
4726;11792400;2200;Blumenhaus;Lennartz,;Heinz-Jürgen;Warendorfer Str. 125;48145;Münster;0044;1;Pak 1/2;26,7;0044-Pak 1/2;Pak 2/2;;23,2;;49,9;0044-Pak 1/2
4726;11792400;2200;Blumenhaus;Lennartz,;Heinz-Jürgen;Warendorfer Str. 125;48145;Münster;0044;1;Pak 2/2;23,2;0044-Pak 2/2;;;;;;0044-Pak 2/2
2980;05701600;2200;Blumenhaus;Blumen Klaus Pitschak GmbH;;Trankgasse 11;50667;Köln;0045;1;Pak 1/2;26,7;0045-Pak 1/2;Pak 2/2;;23,2;;49,9;0045-Pak 1/2
2980;05701600;2200;Blumenhaus;Blumen Klaus Pitschak GmbH;;Trankgasse 11;50667;Köln;0045;1;Pak 2/2;23,2;0045-Pak 2/2;;;;;;0045-Pak 2/2
4591;11334100;2200;Blumenhaus;Blumenstudio Wenk OHG,;Inh. Harald und Christian Wenk;Hintere Bleiche 32;55116;Mainz;0046;1;Pak 1/2;26,7;0046-Pak 1/2;Pak 2/2;;23,2;;49,9;0046-Pak 1/2
4591;11334100;2200;Blumenhaus;Blumenstudio Wenk OHG,;Inh. Harald und Christian Wenk;Hintere Bleiche 32;55116;Mainz;0046;1;Pak 2/2;23,2;0046-Pak 2/2;;;;;;0046-Pak 2/2
1469;02541000;2200;Blumenhaus;Blumen Bauriedl GmbH;;Helene-Mayer-Ring 19;80809;München;0047;1;Pak 1/2;26,7;0047-Pak 1/2;Pak 2/2;;23,2;;49,9;0047-Pak 1/2
1469;02541000;2200;Blumenhaus;Blumen Bauriedl GmbH;;Helene-Mayer-Ring 19;80809;München;0047;1;Pak 2/2;23,2;0047-Pak 2/2;;;;;;0047-Pak 2/2
4547;11214700;2200;Blumenhaus;Flaschka,;Annabella;Brückenstr. 8;86153;Augsburg;0048;1;Pak 1/2;26,7;0048-Pak 1/2;Pak 2/2;;23,2;;49,9;0048-Pak 1/2
4547;11214700;2200;Blumenhaus;Flaschka,;Annabella;Brückenstr. 8;86153;Augsburg;0048;1;Pak 2/2;23,2;0048-Pak 2/2;;;;;;0048-Pak 2/2
1401;02435000;2200;Blumenhaus;Blumen Kuhn Floraldesign GmbH;im Zentrum;Vordere Sterngasse 13;90402;Nürnberg;0049;1;Pak 1/2;26,7;0049-Pak 1/2;Pak 2/2;;23,2;;49,9;0049-Pak 1/2
1401;02435000;2200;Blumenhaus;Blumen Kuhn Floraldesign GmbH;im Zentrum;Vordere Sterngasse 13;90402;Nürnberg;0049;1;Pak 2/2;23,2;0049-Pak 2/2;;;;;;0049-Pak 2/2
872;01550100;2100;Blumenhaus;Atelier Florist Menck,;Inh. Klaus Menck;Hölertwiete 8;21073;Hamburg;0050;1;Pak 1/2;26,7;0050-Pak 1/2;Pak 2/2;;20,9;;47,6;0050-Pak 1/2
872;01550100;2100;Blumenhaus;Atelier Florist Menck,;Inh. Klaus Menck;Hölertwiete 8;21073;Hamburg;0050;1;Pak 2/2;20,9;0050-Pak 2/2;;;;;;0050-Pak 2/2
4892;12360801;2100;Blumenhaus;Gärtnerei Martens Blumen und;Pflanzenhandelsgesellschaft mbH;Möllner Str. 22 b;21514;Büchen;0051;1;Pak 1/2;26,7;0051-Pak 1/2;Pak 2/2;;20,9;;47,6;0051-Pak 1/2
4892;12360801;2100;Blumenhaus;Gärtnerei Martens Blumen und;Pflanzenhandelsgesellschaft mbH;Möllner Str. 22 b;21514;Büchen;0051;1;Pak 2/2;20,9;0051-Pak 2/2;;;;;;0051-Pak 2/2
2015;03647900;2100;Blumenhaus;Blumen Mardt,;Inh. Heinz-Hermann Mardt;Kunaustr. 11 c;22393;Hamburg;0052;1;Pak 1/2;26,7;0052-Pak 1/2;Pak 2/2;;20,9;;47,6;0052-Pak 1/2
2015;03647900;2100;Blumenhaus;Blumen Mardt,;Inh. Heinz-Hermann Mardt;Kunaustr. 11 c;22393;Hamburg;0052;1;Pak 2/2;20,9;0052-Pak 2/2;;;;;;0052-Pak 2/2
4271;09230800;2100;Blumenhaus;Lüdemann Pflanzen und Floristik GmbH;;Ulzburger Str. 443;22846;Norderstedt;0053;1;Pak 1/2;26,7;0053-Pak 1/2;Pak 2/2;;20,9;;47,6;0053-Pak 1/2
4271;09230800;2100;Blumenhaus;Lüdemann Pflanzen und Floristik GmbH;;Ulzburger Str. 443;22846;Norderstedt;0053;1;Pak 2/2;20,9;0053-Pak 2/2;;;;;;0053-Pak 2/2
1330;02326700;2100;Blumenhaus;Blumen ENK Thomas Dietz;;Heinrich-Heine-Allee 51;40213;Düsseldorf;0054;1;Pak 1/2;26,7;0054-Pak 1/2;Pak 2/2;;20,9;;47,6;0054-Pak 1/2
1330;02326700;2100;Blumenhaus;Blumen ENK Thomas Dietz;;Heinrich-Heine-Allee 51;40213;Düsseldorf;0054;1;Pak 2/2;20,9;0054-Pak 2/2;;;;;;0054-Pak 2/2
2692;04997000;2100;Blumenhaus;Dreyer,;Elisabeth, Blumenhaus Dreyer;Boeselager Str. 20;48163;Münster;0055;1;Pak 1/2;26,7;0055-Pak 1/2;Pak 2/2;;20,9;;47,6;0055-Pak 1/2
2692;04997000;2100;Blumenhaus;Dreyer,;Elisabeth, Blumenhaus Dreyer;Boeselager Str. 20;48163;Münster;0055;1;Pak 2/2;20,9;0055-Pak 2/2;;;;;;0055-Pak 2/2
2656;04935100;2100;Blumenhaus;Graf,;Neil + Nadine und Frank Müller, Blumen-Graf;Ziegelsteinstr. 156;90411;Nürnberg;0056;1;Pak 1/2;26,7;0056-Pak 1/2;Pak 2/2;;20,9;;47,6;0056-Pak 1/2
2656;04935100;2100;Blumenhaus;Graf,;Neil + Nadine und Frank Müller, Blumen-Graf;Ziegelsteinstr. 156;90411;Nürnberg;0056;1;Pak 2/2;20,9;0056-Pak 2/2;;;;;;0056-Pak 2/2
3797;08118800;2000;Blumenhaus;Blumen-Trache,;Floristmeisterbetrieb e.K.;Leipziger Str. 162;01127;Dresden;0057;1;Pak 1/2;26,7;0057-Pak 1/2;Pak 2/2;;18,7;;45,4;0057-Pak 1/2
3797;08118800;2000;Blumenhaus;Blumen-Trache,;Floristmeisterbetrieb e.K.;Leipziger Str. 162;01127;Dresden;0057;1;Pak 2/2;18,7;0057-Pak 2/2;;;;;;0057-Pak 2/2
2814;05264700;2000;Blumenhaus;1 A Blumen-Mende,;Inh. Thomas Mende e.K.;Markelstr. 23;12163;Berlin;0058;1;Pak 1/2;26,7;0058-Pak 1/2;Pak 2/2;;18,7;;45,4;0058-Pak 1/2
2814;05264700;2000;Blumenhaus;1 A Blumen-Mende,;Inh. Thomas Mende e.K.;Markelstr. 23;12163;Berlin;0058;1;Pak 2/2;18,7;0058-Pak 2/2;;;;;;0058-Pak 2/2
617;01132000;2000;Blumenhaus;Becker-Weigand,;Emmy, Floristik & Dekoration;Georg-Hermann-Allee 13;14469;Potsdam;0059;1;Pak 1/2;26,7;0059-Pak 1/2;Pak 2/2;;18,7;;45,4;0059-Pak 1/2
617;01132000;2000;Blumenhaus;Becker-Weigand,;Emmy, Floristik & Dekoration;Georg-Hermann-Allee 13;14469;Potsdam;0059;1;Pak 2/2;18,7;0059-Pak 2/2;;;;;;0059-Pak 2/2
2003;03613700;2000;Blumenhaus;Endert,;Kati, Rosen und Dornen;Neue Strandstr. 17;17454;Zinnowitz;0060;1;Pak 1/2;26,7;0060-Pak 1/2;Pak 2/2;;18,7;;45,4;0060-Pak 1/2
2003;03613700;2000;Blumenhaus;Endert,;Kati, Rosen und Dornen;Neue Strandstr. 17;17454;Zinnowitz;0060;1;Pak 1/2;26,7;0060-Pak 1/2;;;;;;0060-Pak 1/2
590;01072900;2000;Blumenhaus;Oeding,;Uwe;Kaltenweide 15-17;25335;Elmshorn;0061;1;Pak 2/2;18,7;0061-Pak 2/2;Pak 2/2;;18,7;;45,4;0061-Pak 2/2
590;01072900;2000;Blumenhaus;Oeding,;Uwe;Kaltenweide 15-17;25335;Elmshorn;0061;1;Pak 1/2;26,7;0061-Pak 1/2;;;;;;0061-Pak 1/2
297;00570400;2000;Blumenhaus;aus Lust an Blumen e.K.;;Prinzeß-Luise-Str. 40-42;45479;Mülheim;0062;1;Pak 2/2;18,7;0062-Pak 2/2;Pak 2/2;;18,7;;45,4;0062-Pak 2/2
297;00570400;2000;Blumenhaus;aus Lust an Blumen e.K.;;Prinzeß-Luise-Str. 40-42;45479;Mülheim;0062;1;Pak 1/2;26,7;0062-Pak 1/2;;;;;;0062-Pak 1/2
770;01380600;2000;Blumenhaus;Heusgen & Rousselange -;Haus der Blumen OHG;Friedrichstr. 64;53111;Bonn;0063;1;Pak 1/2;26,7;0063-Pak 1/2;Pak 2/2;;18,7;;45,4;0063-Pak 1/2
770;01380600;2000;Blumenhaus;Heusgen & Rousselange -;Haus der Blumen OHG;Friedrichstr. 64;53111;Bonn;0063;1;Pak 2/2;18,7;0063-Pak 2/2;;;;;;0063-Pak 2/2
2552;04709300;2000;Blumenhaus;Düren,;Anne, Blumen und mehr ...;Rochusstr. 125;53123;Bonn;0064;1;Pak 1/2;26,7;0064-Pak 1/2;Pak 2/2;;18,7;;45,4;0064-Pak 1/2
2552;04709300;2000;Blumenhaus;Düren,;Anne, Blumen und mehr ...;Rochusstr. 125;53123;Bonn;0064;1;Pak 2/2;18,7;0064-Pak 2/2;;;;;;0064-Pak 2/2
647;01175400;2000;Blumenhaus;Wolf,;Andre, Blumen- und Gartencenter Wolf;Heidemannstr. 8;80939;München;0065;1;Pak 1/2;26,7;0065-Pak 1/2;Pak 2/2;;18,7;;45,4;0065-Pak 1/2
647;01175400;2000;Blumenhaus;Wolf,;Andre, Blumen- und Gartencenter Wolf;Heidemannstr. 8;80939;München;0065;1;Pak 1/2;26,7;0065-Pak 1/2;;;;;;0065-Pak 1/2
4434;10008500;2000;Blumenhaus;Blumen Müller,;Inh. Rudolf Müller e.K.;Fritz-Baer-Str. 16;81476;München;0066;1;Pak 2/2;18,7;0066-Pak 2/2;Pak 2/2;;18,7;;45,4;0066-Pak 2/2
4434;10008500;2000;Blumenhaus;Blumen Müller,;Inh. Rudolf Müller e.K.;Fritz-Baer-Str. 16;81476;München;0066;1;Pak 1/2;26,7;0066-Pak 1/2;;;;;;0066-Pak 1/2
