Partner-Nr.;Anzahl;Post-Anrede;Post-Name1;Post-Name2;Post-Straße;Post-PLZ;Post-Ort;Druck-Anrede für HG/NG;Druck-HG-Name1;Druck-HG-Name2;Druck-HG-Straße;Druck-HG-PLZ;Druck-HG-Ort;Druck-HG-Tel.;Druck-NG-Name1;Druck-NG-Name2;Druck-NG-Straße;Druck-NG-PLZ;Druck-NG-Ort;Druck-NG-Tel.
5684900;100;Firma;Laska,;Birgit, Blumenhaus Bauer;Barbarossastr. 67;63571;Gelnhausen;Fleurop-Fachgeschäft:;Laska,;Birgit, Blumenhaus Bauer;Barbarossastr. 67;63571;Gelnhausen;06051-27 67;;;;;;
25371700;100;Firma;Zebovec-Müller,;Ursula;Leppestr. 22;51709;Marienheide;Fleurop-Fachgeschäft:;Zebovec-Müller,;Ursula;Leppestr. 22;51709;Marienheide;02264-63 15;;;;;;
5761300;100;Firma;Stifel,;Uwe, Gärtnerei Stifel;Felldorfer Str. 61;72181;Starzach-Bierlingen;Fleurop-Fachgeschäft:;Stifel,;Uwe, Gärtnerei Stifel;Felldorfer Str. 61;72181;Starzach-Bierlingen;07483-91 26 89;;;;;;
5304200;100;Firma;Friesen,;Viktor, Atelier Blum Art;Rheinstr. 63;76532;Baden- Baden;Fleurop-Fachgeschäft:;Friesen,;Viktor, Atelier Blum Art;Rheinstr. 63;76532;Baden- Baden;07221-971 08 99;;;;;;
5654100;100;Firma;Bergholz,;Heike, Blumen Jule;Rudolf-Breitscheid-Str. 140;14943;Luckenwalde;Fleurop-Fachgeschäft:;Bergholz,;Heike, Blumen Jule;Rudolf-Breitscheid-Str. 140;14943;Luckenwalde;03371-40 17 39;;;;;;
5752100;100;Firma;Miro,;Natascha, Blumengalerie Miro;Bahnhofstr. 9;65185;Wiesbaden;Fleurop-Fachgeschäft:;Miro,;Natascha, Blumengalerie Miro;Bahnhofstr. 9;65185;Wiesbaden;0611-30 68 00;;;;;;
5757600;100;Firma;Schäfer,;Vlatka, Blumentraum Magnolia;Neue Mauerstr. 1;61348;Bad Homburg;Fleurop-Fachgeschäft:;Schäfer,;Vlatka, Blumentraum Magnolia;Neue Mauerstr. 1;61348;Bad Homburg;06172-680 47 44;;;;;;
5155300;100;Firma;Prengel,;Rainer, Blumenmädchen;Bad-Friedrichshaller-Str. 7;06679;Hohenmölsen;Fleurop-Fachgeschäft:;Prengel,;Rainer, Blumenmädchen;Bad-Friedrichshaller-Str. 7;06679;Hohenmölsen;034441-99 65 16;;;;;;
5743900;100;Firma;Bentrup Pflanzenhandel;GmbH + Co. KG. Gerd Bentrup;Osnabrücker Str. 84;49186;Bad Iburg;Fleurop-Fachgeschäft:;Bentrup Pflanzenhandel;GmbH + Co. KG. Gerd Bentrup;Osnabrücker Str. 84;49186;Bad Iburg;05403-74 74 11;;;;;;
5457100;100;Firma;Setzepfand,;Michaela, Harzblüte;Breite Str. 18;38707;Altenau;Fleurop-Fachgeschäft:;Setzepfand,;Michaela, Harzblüte;Breite Str. 18;38707;Altenau;05328-398;;;;;;
5463000;100;Firma;Nielsen,;Jenneken, Blumen Nielsen;Schulstr. 25;25794;Pahlen;Fleurop-Fachgeschäft:;Nielsen,;Jenneken, Blumen Nielsen;Schulstr. 25;25794;Pahlen;04803-64 89 60;;;;;;
5707200;100;Firma;Theile-Rasche,;Ingo, Elsper Blumenkörbchen;Bielefelder Str. 88;57368;Lennestadt-Elspe;Fleurop-Fachgeschäft:;Theile-Rasche,;Ingo, Elsper Blumenkörbchen;Bielefelder Str. 88;57368;Lennestadt-Elspe;02721-14 45;;;;;;
5697500;100;Firma;Hirzbruch,;Sandra, Dornröschen;Alleestr. 21a;56410;Montabaur;Fleurop-Fachgeschäft:;Hirzbruch,;Sandra, Dornröschen;Alleestr. 21a;56410;Montabaur;02602-916 59 89;;;;;;
24639600;100;Firma;Eberwein,;Thomas;August-Bebel-Str. 2;9471;Königswalde;Fleurop-Fachgeschäft:;Eberwein,;Thomas;August-Bebel-Str. 2;9471;Königswalde;03733-447 11;;;;;;
5759800;100;Firma;Erlewein,;Svenja, Floristik Kost;Blumenstr. 34;79111;Freiburg;Fleurop-Fachgeschäft:;Erlewein,;Svenja, Floristik Kost;Blumenstr. 34;79111;Freiburg;0761-439 53;;;;;;
26235000;100;Firma;Marienwald,;Marita, Blumen;Weyerstr. 77;50676;Köln;Fleurop-Fachgeschäft:;Marienwald,;Marita, Blumen;Weyerstr. 77;50676;Köln;0221-23 12 63;;;;;;
4568500;100;Firma;Suck;Silke, Blumen-Stuben;Dorfstr. 4;21509;Glinde;Fleurop-Fachgeschäft:;Suck;Silke, Blumen-Stuben;Dorfstr. 4;21509;Glinde;040-711 27 89;;;;;;
5710800;100;Firma;Meinhardt,;Angela, Blumenwerkstatt Meinhardt;Rheinstr. 45;56235;Ransbach-Baumbach;Fleurop-Fachgeschäft:;Meinhardt,;Angela, Blumenwerkstatt Meinhardt;Rheinstr. 45;56235;Ransbach-Baumbach;02623-893 67 27;;;;;;
5751000;100;Firma;Wendt,;Jessica, Blumenhaus Gutjahr;Kronsforder Allee 19 a;23560;Lübeck;Fleurop-Fachgeschäft:;Wendt,;Jessica, Blumenhaus Gutjahr;Kronsforder Allee 19 a;23560;Lübeck;0451-79 16 36;;;;;;
20955000;100;Firma;Böck,;Anni;Innstr. 2;83064;Raubling;Fleurop-Fachgeschäft:;Böck,;Anni;Innstr. 2;83064;Raubling;08035-24 31;;;;;;
5569700;100;Firma;Haering,;Steffen, Blumenpavillion Haering;Parkstr. 30;19322;Wittenberge;Fleurop-Fachgeschäft:;Haering,;Steffen, Blumenpavillion Haering;Parkstr. 30;19322;Wittenberge;03877-748 97;;;;;;
3887400;100;Firma;Hobus,;Gisela, Pusteblume;Pulsnitzer Str. 35;1900;Großröhrsdorf;Fleurop-Fachgeschäft:;Hobus,;Gisela, Pusteblume;Pulsnitzer Str. 35;1900;Großröhrsdorf;035952-311 48;;;;;;
5716400;100;Firma;Krianza,;Michelle, Michelle's Blumenstübchen;Große Str. 36;21521;Wohltorf;Fleurop-Fachgeschäft:;Krianza,;Michelle, Michelle's Blumenstübchen;Große Str. 36;21521;Wohltorf;04104-919 37 93;;;;;;
5717500;100;Firma;Falck,;Gerda, Falck's Blumenwerk;Zeller Str. 5-7;36329;Romrod;Fleurop-Fachgeschäft:;Falck,;Gerda, Falck's Blumenwerk;Zeller Str. 5-7;36329;Romrod;06636-918 70 60;;;;;;
5604700;100;Firma;Mechtersheimer,;Anja, Blumen Oase;Speyerer Str. 29;67227;Frankenthal;Fleurop-Fachgeschäft:;Mechtersheimer,;Anja, Blumen Oase;Speyerer Str. 29;67227;Frankenthal;06233-233 07;;;;;;
5702700;100;Firma;Schmidt,;Marion, Blumen-Boutique;Hagener Str. 35;58642;Iserlohn;Fleurop-Fachgeschäft:;Schmidt,;Marion, Blumen-Boutique;Hagener Str. 35;58642;Iserlohn;02374-32 65;;;;;;
5708300;100;Firma;Stühn,;Kerstin, KS Floristik Blumen & mehr...;Von-der-Recke-Str. 13;58300;Wetter;Fleurop-Fachgeschäft:;Stühn,;Kerstin, KS Floristik Blumen & mehr...;Von-der-Recke-Str. 13;58300;Wetter;02335-604 87;;;;;;
5602500;100;Firma;Flowerterminal GmbH;;Im Rhein-Main-Flughafen;60549;Frankfurt-Flughafen;Fleurop-Fachgeschäft:;Flowerterminal GmbH;;Im Rhein-Main-Flughafen;60549;Frankfurt-Flughafen;069-6902 48 89;;;;;;
5730300;100;Firma;Hermann,;Tatjana, Blumen Hermann;Hahlweg 35;36093;Künzell;Fleurop-Fachgeschäft:;Hermann,;Tatjana, Blumen Hermann;Hahlweg 35;36093;Künzell;0661-2513 10 57;;;;;;
5763500;100;Firma;Glemser,;Claudia, Blumen Seidel;Frauenstr. 2;71711;Murr;Fleurop-Fachgeschäft:;Glemser,;Claudia, Blumen Seidel;Frauenstr. 2;71711;Murr;07144-210 11;;;;;;
21587800;100;Firma;Weinhardt,;Sibylle, Blumen Hartenbauer;Warmbronner Str. 5;71106;Magstadt;Fleurop-Fachgeschäft:;Weinhardt,;Sibylle, Blumen Hartenbauer;Warmbronner Str. 5;71106;Magstadt;07159-45 76 60;;;;;;
4424900;100;Firma;Geisler,;Marlis, Blumengeschäft;Bertolt-Brecht-Str. 8;3050;Cottbus;Fleurop-Fachgeschäft:;Geisler,;Marlis, Blumengeschäft;Bertolt-Brecht-Str. 8;3050;Cottbus;0355-71 07 00;;;;;;
5626500;100;Firma;Reese,;Beate;Mittelstr. 40;32699;Extertal;Fleurop-Fachgeschäft:;Reese,;Beate;Mittelstr. 40;32699;Extertal;05262-33 47;;;;;;
5610600;100;Firma;Heinrichs,;Stephanie, Blumen Reinhardt;Niedersachsenstr. 6;21244;Buchholz;Fleurop-Fachgeschäft:;Heinrichs,;Stephanie, Blumen Reinhardt;Niedersachsenstr. 6;21244;Buchholz;04186-393;;;;;;
25839200;100;Firma;Landwirtsch.Produktivg.;Baumschule Putbus;Fritz-Reuter-Str. 11;18581;Putbus;Fleurop-Fachgeschäft:;Landwirtsch.Produktivg.;Baumschule Putbus;Fritz-Reuter-Str. 11;18581;Putbus;038301-204;;;;;;
5541300;100;Firma;Friedl,;Maria, Gärtnerei Friedl;Alte Straße 43;82431;Kochel;Fleurop-Fachgeschäft:;Friedl,;Maria, Gärtnerei Friedl;Alte Straße 43;82431;Kochel;08851-74 59;;;;;;
5471000;100;Firma;Lüneburg;Horst-Werner;Plantagenweg 23;31515;Wunstorf;Fleurop-Fachgeschäft:;Lüneburg;Horst-Werner;Plantagenweg 23;31515;Wunstorf;05031-969 79 69;;;;;;
5458200;100;Firma;Jessen,;Alexandra, Blumiges;Alsterdorfer Str. 192 b;22297;Hamburg;Fleurop-Fachgeschäft:;Jessen,;Alexandra, Blumiges;Alsterdorfer Str. 192 b;22297;Hamburg;040-5149 10 58;;;;;;
5417000;100;Firma;Baldus,;Hans-Günther, Blumenvitrine;Weiherplatz 24;51674;Wiehl;Fleurop-Fachgeschäft:;Baldus,;Hans-Günther, Blumenvitrine;Weiherplatz 24;51674;Wiehl;02262-921 02;;;;;;
5539800;100;Firma;Bopfinger,;Markus, Blumenfenster;Münchner Str. 16;85221;Dachau;Fleurop-Fachgeschäft:;Bopfinger,;Markus, Blumenfenster;Münchner Str. 16;85221;Dachau;08131-73 61 96;;;;;;
5639000;100;Firma;Marx,;Ute, Leutzscher Blumenboutique;Georg-Schwarz-Str. 166;04179;Leipzig;Fleurop-Fachgeschäft:;Marx,;Ute, Leutzscher Blumenboutique;Georg-Schwarz-Str. 166;04179;Leipzig;0341-441 06 75;;;;;;
5686100;100;Firma;Breitenstein,;Angelika, Blumen Breitenstein;Schwarze Str. 65;45326;Essen;Fleurop-Fachgeschäft:;Breitenstein,;Angelika, Blumen Breitenstein;Schwarze Str. 65;45326;Essen;0201-365 985 75;;;;;;
23417200;100;Firma;Lehmann,;Gerd, Blumenstübchen;Drebkauer Hauptstr. 52;03116;Drebkau;Fleurop-Fachgeschäft:;Lehmann,;Gerd, Blumenstübchen;Drebkauer Hauptstr. 52;03116;Drebkau;035602-206 37;;;;;;
4207200;100;Firma;Die Blume;Inh. Marita Ulrich;Pfarrer-Grimm-Str. 12-14;55124;Mainz;Fleurop-Fachgeschäft:;Die Blume;Inh. Marita Ulrich;Pfarrer-Grimm-Str. 12-14;55124;Mainz;06131-419 97;;;;;;
21961600;100;Firma;Schwill,;Kathrin, Blumenhaus Müller;Bismarckstr. 2;09306;Rochlitz;Fleurop-Fachgeschäft:;Schwill,;Kathrin, Blumenhaus Müller;Bismarckstr. 2;09306;Rochlitz;03737-483 94;;;;;;
5547900;100;Firma;Pflüger,;Nadja, Blüten Trend;Bismarckstr. 11;97990;Weikersheim;Fleurop-Fachgeschäft:;Pflüger,;Nadja, Blüten Trend;Bismarckstr. 11;97990;Weikersheim;07934-78 23;;;;;;
20584100;100;Firma;Rosenboom,;Gisela;Am Finkenweg 15;26532;Großheide;Fleurop-Fachgeschäft:;Rosenboom,;Gisela;Am Finkenweg 15;26532;Großheide;04936-91 43 30;;;;;;
26409000;100;Firma;Sperl,;Georg, Gärtnerei Sperl;Kreisstr. 6;39221;Kleinmühlingen;Fleurop-Fachgeschäft:;Sperl,;Georg, Gärtnerei Sperl;Kreisstr. 6;39221;Kleinmühlingen;039291-24 06;;;;;;
5421700;100;Firma;Roths,;Pia, Blumenhaus Keerl;Nikolaus-Koch-Platz 3;54290;Trier;Fleurop-Fachgeschäft:;Roths,;Pia, Blumenhaus Keerl;Nikolaus-Koch-Platz 3;54290;Trier;0651-757 09;;;;;;
5445600;100;Firma;Biesen,;Katinka, Blumen Niehüser;Neumühler Str. 37;46149;Oberhausen;Fleurop-Fachgeschäft:;Biesen,;Katinka, Blumen Niehüser;Neumühler Str. 37;46149;Oberhausen;0208-694 15 00;;;;;;
5581400;100;Firma;Meier,;Andrea, Blumen-Schulze;Bahnhofstr. 1 b;15732;Eichwalde;Fleurop-Fachgeschäft:;Meier,;Andrea, Blumen-Schulze;Bahnhofstr. 1 b;15732;Eichwalde;030-675 88 36;;;;;;
21603600;100;Firma;Haverott,;Anke und Ralf, Blumen Haverott GbR;Borkener Str. 149;46284;Dorsten;Fleurop-Fachgeschäft:;Haverott,;Anke und Ralf, Blumen Haverott GbR;Borkener Str. 149;46284;Dorsten;02362-623 94;;;;;;
5603600;100;Firma;Klein,;Annette, Blumen & Mehr;Krötenweg 5;70499;Stuttgart;Fleurop-Fachgeschäft:;Klein,;Annette, Blumen & Mehr;Krötenweg 5;70499;Stuttgart;0711-86 52 00;;;;;;
22767300;100;Firma;Held,;Sabine, Blumen das Lächeln der Natur;Hauptstr. 8;91757;Treuchtlingen;Fleurop-Fachgeschäft:;Held,;Sabine, Blumen das Lächeln der Natur;Hauptstr. 8;91757;Treuchtlingen;09142-18 78;;;;;;
5489100;100;Firma;Schlüter,;Raimung, Blumen und Floristik;Am Wallgraben 14;33154;Salzkotten;Fleurop-Fachgeschäft:;Schlüter,;Raimung, Blumen und Floristik;Am Wallgraben 14;33154;Salzkotten;05258-93 30 90;;;;;;
5628700;100;Firma;Tischendorf;Doreen, Zum Blumenhäuschen;Gartenallee 6;04827;Machern;Fleurop-Fachgeschäft:;Tischendorf;Doreen, Zum Blumenhäuschen;Gartenallee 6;04827;Machern;034292-698 01;;;;;;
5644800;100;Firma;Gurb,;Annett, Blütenzauber;Drebkauer Hauptstr. 54;03116;Drebkau;Fleurop-Fachgeschäft:;Gurb,;Annett, Blütenzauber;Drebkauer Hauptstr. 54;03116;Drebkau;035602-41 97 15;;;;;;
26221200;100;Firma;Mahler,;Kathleen, Der Blumenladen;Schmöllnsche Str. 3;04600;Altenburg;Fleurop-Fachgeschäft:;Mahler,;Kathleen, Der Blumenladen;Schmöllnsche Str. 3;04600;Altenburg;03447-31 60 71;;;;;;
5179200;100;Firma;Schirmer,;Andrea, Blumenhaus Müller;Erlenring 4;35037;Marburg;Fleurop-Fachgeschäft:;Schirmer,;Andrea, Blumenhaus Müller;Erlenring 4;35037;Marburg;06421-239 61;;;;;;
5487900;100;Firma;Albertsen,;Ammelie, Haus der Blumen;Tarper Str. 15;24997;Wanderup;Fleurop-Fachgeschäft:;Albertsen,;Ammelie, Haus der Blumen;Tarper Str. 15;24997;Wanderup;04606-205;;;;;;
5405500;100;Firma;Yadav,;Shashank, blumen rückert;Passauer Str. 34;10789;Berlin;Fleurop-Fachgeschäft:;Yadav,;Shashank, blumen rückert;Passauer Str. 34;10789;Berlin;0179-66 02 569;;;;;;
5414700;100;Firma;Nguyen,;Vinh, Ku'damm Flowers Blankenberg;Kurfürstendamm 146;10709;Berlin;Fleurop-Fachgeschäft:;Nguyen,;Vinh, Ku'damm Flowers Blankenberg;Kurfürstendamm 146;10709;Berlin;030-8954 38 90;;;;;;
5446700;100;Firma;Lohmeier,;Delia, Blumen Terlinden;Mühlenweg 97;46483;Wesel;Fleurop-Fachgeschäft:;Lohmeier,;Delia, Blumen Terlinden;Mühlenweg 97;46483;Wesel;0281-611 31;;;;;;
5551600;100;Firma;Sonnenberger,;Julia, Blumenstil;Blumenstr. 2;85247;Schwabhausen;Fleurop-Fachgeschäft:;Sonnenberger,;Julia, Blumenstil;Blumenstr. 2;85247;Schwabhausen;08138-382;;;;;;
26134600;100;Firma;Klimmer,;Christine, Flores Tine Blumen;Karbe-Wagner-Str. 51;17235;Neustrelitz;Fleurop-Fachgeschäft:;Klimmer,;Christine, Flores Tine Blumen;Karbe-Wagner-Str. 51;17235;Neustrelitz;03981-44 22 01;;;;;;
5437500;100;Firma;Garten-Center röttger GmbH & Co.KG;;Erlentiefenstr. 31;59192;Bergkamen;Fleurop-Fachgeschäft:;Garten-Center röttger GmbH & Co.KG;;Erlentiefenstr. 31;59192;Bergkamen;02307-98 28 20;;;;;;
23212800;100;Firma;Klöppner,;Heinrich;Wilhelmstr. 62;37308;Heilbad Heiligenstadt;Fleurop-Fachgeschäft:;Klöppner,;Heinrich;Wilhelmstr. 62;37308;Heilbad Heiligenstadt;03606-60 32 33;;;;;;
5335100;100;Firma;Hölzer,;Cornelia, Conny's Zauberblüte;Friedhofstr. 3;76327;Pfinztal;Fleurop-Fachgeschäft:;Hölzer,;Cornelia, Conny's Zauberblüte;Friedhofstr. 3;76327;Pfinztal;0721-46 08 75;;;;;;
5564200;100;Firma;Schwabe,;Melanie, Happy Flowers;Zeilbäume 58;07607;Eisenberg;Fleurop-Fachgeschäft:;Schwabe,;Melanie, Happy Flowers;Zeilbäume 58;07607;Eisenberg;036691-570 90;;;;;;
24216700;100;Firma;Bayha,;Thomas, Blumenhaus u. Gärtnerei;Keplerstr. 2;70825;Korntal-Münchingen;Fleurop-Fachgeschäft:;Bayha,;Thomas, Blumenhaus u. Gärtnerei;Keplerstr. 2;70825;Korntal-Münchingen;07150-61 15;;;;;;
5332800;100;Firma;Mayland,;Christina, Lantana;Zuckerstr. 2;64807;Dieburg;Fleurop-Fachgeschäft:;Mayland,;Christina, Lantana;Zuckerstr. 2;64807;Dieburg;06071-20 75 12;;;;;;
5371800;100;Firma;Münch,;Ute, Blattlaus;Niedermarkt 12;4736;Waldheim;Fleurop-Fachgeschäft:;Münch,;Ute, Blattlaus;Niedermarkt 12;4736;Waldheim;034327-665 55;;;;;;
5448900;100;Firma;Ulrich,;Christoph, Pflanzenhof Ulrich;Am Wachtbergring 4;53343;Wachtberg;Fleurop-Fachgeschäft:;Ulrich,;Christoph, Pflanzenhof Ulrich;Am Wachtbergring 4;53343;Wachtberg;0228-854 67 40;;;;;;
5486800;100;Firma;Srocke,;Martin, Kultur flora;Hauptstr. 113;99752;Bleicherode;Fleurop-Fachgeschäft:;Srocke,;Martin, Kultur flora;Hauptstr. 113;99752;Bleicherode;036338-59 84 04;;;;;;
5519300;100;Firma;Jörs,;Norbert, Gärtnerei Jörs Brockel;Kirchstr. 5;27386;Brockel;Fleurop-Fachgeschäft:;Jörs,;Norbert, Gärtnerei Jörs Brockel;Kirchstr. 5;27386;Brockel;04266-385;;;;;;
22024500;100;Firma;Maier;Jürgen, Blume & Beiwerk;Lindwurmstr. 203;80337;München;Fleurop-Fachgeschäft:;Maier;Jürgen, Blume & Beiwerk;Lindwurmstr. 203;80337;München;089-5786 92 01;;;;;;
22747100;100;Firma;Kaspar,;Wolfgang, Miraflores Blumenhandel;Dehnhaide 22;22081;Hamburg;Fleurop-Fachgeschäft:;Kaspar,;Wolfgang, Miraflores Blumenhandel;Dehnhaide 22;22081;Hamburg;040-29 75 58;;;;;;
5462900;100;Firma;Pingel,;Maren, Blattlaus;Bremer Str. 41;28844;Weyhe;Fleurop-Fachgeschäft:;Pingel,;Maren, Blattlaus;Bremer Str. 41;28844;Weyhe;0421-89 19 79;;;;;;
5506700;100;Firma;Hartmann,;Christiane, BlumenMehr;Poststr. 24;34289;Zierenberg;Fleurop-Fachgeschäft:;Hartmann,;Christiane, BlumenMehr;Poststr. 24;34289;Zierenberg;05606-53 08 51;;;;;;
5552700;100;Firma;Sklenar,;Jana, Blumen Liana;Ettinger Str. 19;85057;Ingolstadt;Fleurop-Fachgeschäft:;Sklenar,;Jana, Blumen Liana;Ettinger Str. 19;85057;Ingolstadt;0841-48 50 57;Sklenar,;Jana, Blumen Liana;Krumenauer Str. 25 // i.Klinikum;85049;Ingolstadt;0841-880 10 24
25264000;100;Firma;Wiedmaier,;Thomas, Blumenland Wiedmaier;Friedhofstr. 2;72224;Ebhausen;Fleurop-Fachgeschäft:;Wiedmaier,;Thomas, Blumenland Wiedmaier;Friedhofstr. 2;72224;Ebhausen;07458-363;;;;;;
3833600;100;Firma;Bluwa Wassenaar;Gartencenter GmbH;Auf den Delben 27;28719;Bremen;Fleurop-Fachgeschäft:;Bluwa Wassenaar;Gartencenter GmbH;Auf den Delben 27;28719;Bremen;0421-694 80 15;Bluwa Wassenaar;Gartencenter GmbH;Vahrer Str. 197;28329;Bremen;0421-6964 80 15
22022100;100;Firma;Schockert,;Markus, Schockert blatt & blume;Erkelenzer Str. 42a;41844;Wegberg;Fleurop-Fachgeschäft:;Schockert,;Markus, Schockert blatt & blume;Erkelenzer Str. 42a;41844;Wegberg;02434-10 72;;;;;;
2466000;100;Firma;Biohn,;Martina, Blumenhaus Biohn;Hagener Str. 277;58285;Gevelsberg;Fleurop-Fachgeschäft:;Biohn,;Martina, Blumenhaus Biohn;Hagener Str. 277;58285;Gevelsberg;02332-626 18;;;;;;
5389900;100;Firma;Wilting,;Petra und Clara Epping GbR, BlütenWerk;Mussumer Kirchweg 64;46395;Bocholt;Fleurop-Fachgeschäft:;Wilting,;Petra und Clara Epping GbR, BlütenWerk;Mussumer Kirchweg 64;46395;Bocholt;02871-235 66 60;;;;;;
5397000;100;Firma;Fleer-Terkorst;Beate, Rote Rosen;Alstätter Friedhofstr. 20;48683;Ahaus;Fleurop-Fachgeschäft:;Fleer-Terkorst;Beate, Rote Rosen;Alstätter Friedhofstr. 20;48683;Ahaus;02567-937 05 67;;;;;;
5503400;100;Firma;Nitz,;Karola, Stein & Blüte;Wiesestr. 112;07548;Gera;Fleurop-Fachgeschäft:;Nitz,;Karola, Stein & Blüte;Wiesestr. 112;07548;Gera;0365-552 02 90;;;;;;
5140500;100;Firma;Schneider,;Steffen, GartenLand Schneider;Tönisstr. 27;40599;Düsseldorf;Fleurop-Fachgeschäft:;Schneider,;Steffen, GartenLand Schneider;Tönisstr. 27;40599;Düsseldorf;0211-74 29 94;;;;;;
5346500;100;Firma;Marquardt;Gunnar, Gänseblümchen;Am Markt 2;15345;Eggersdorf;Fleurop-Fachgeschäft:;Marquardt;Gunnar, Gänseblümchen;Am Markt 2;15345;Eggersdorf;03341-30 41 25;;;;;;
5379600;100;Firma;Sporleder GbR;Ulrich & Hermann;Am Weissenbach 2;37619;Hehlen;Fleurop-Fachgeschäft:;Sporleder GbR;Ulrich & Hermann;Am Weissenbach 2;37619;Hehlen;05533-53 54;;;;;;
5383300;100;Firma;Stange,;Andrea, blumenart;Bahnhofstr. 15;34587;Felsberg;Fleurop-Fachgeschäft:;Stange,;Andrea, blumenart;Bahnhofstr. 15;34587;Felsberg;05662-40 01 39;;;;;;
5384400;100;Firma;Ackermann,;Melitta, Blumen-Ackermann;Kilianistr. 1;99974;Mühlhausen;Fleurop-Fachgeschäft:;Ackermann,;Melitta, Blumen-Ackermann;Kilianistr. 1;99974;Mühlhausen;03601-44 66 00;;;;;;
5400000;100;Firma;Hallatsch;Sonja, Blumenkorb;Hochstr. 79;58511;Lüdenscheid;Fleurop-Fachgeschäft:;Hallatsch;Sonja, Blumenkorb;Hochstr. 79;58511;Lüdenscheid;02351-676 43 03;;;;;;
5514800;100;Firma;Berdelmann,;Gunda, Petite-Fleur;Münsterstr. 10;49176;Hilter;Fleurop-Fachgeschäft:;Berdelmann,;Gunda, Petite-Fleur;Münsterstr. 10;49176;Hilter;05424-375 33;;;;;;
5515900;100;Firma;Foppe,;Melanie, blumen creativ;Lindenstr. 15;49593;Bersenbrück;Fleurop-Fachgeschäft:;Foppe,;Melanie, blumen creativ;Lindenstr. 15;49593;Bersenbrück;05439-80 81 04;;;;;;
3313200;100;Firma;Scheid,;Johannes, Blumenhaus Scheid;Hauptstr. 36;66127;Saarbrücken;Fleurop-Fachgeschäft:;Scheid,;Johannes, Blumenhaus Scheid;Hauptstr. 36;66127;Saarbrücken;06898-394 83;;;;;;
5341000;100;Firma;Strebert,;Jasmin, Flower Power;Bahnhofstr. 39;63667;Nidda;Fleurop-Fachgeschäft:;Strebert,;Jasmin, Flower Power;Bahnhofstr. 39;63667;Nidda;06043-29 87;;;;;;
